Row Labels,Basket,Bread,Cake,Chicken sand,Coffee,Coke,Cookies,Ella's Kitchen Pouches,Farm House,Focaccia,Frittata,Fudge,Hearty & Seasonal,Hot chocolate,Jam,Juice,Medialuna,Mighty Protein,Mineral water,Muffin,My-1 Fruit Shoot,NONE,Pastry,Pick and Mix Bowls,Sandwich,Scandinavian,Smoothies,Soup,Tartine,Tea,Victorian Sponge,
Basket,1.00,0.07,-0.01,0.00,0.05,-0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.02,0.00,-0.01,-0.02,0.00,-0.01,-0.01,0.00,-0.01,-0.01,-0.02,-0.01,
Bread,0.07,1.00,0.00,-0.02,0.07,0.05,0.02,0.07,-0.03,-0.02,0.01,-0.05,0.02,0.02,0.03,-0.01,0.13,-0.03,0.01,0.03,-0.02,0.16,0.06,-0.03,0.05,-0.04,-0.02,-0.06,0.01,-0.03,0.10,
Cake,-0.01,0.00,1.00,-0.01,0.17,-0.01,0.20,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.02,-0.03,0.38,0.06,-0.03,-0.01,-0.01,-0.03,-0.01,-0.02,-0.02,0.02,-0.01,
Chicken sand,0.00,-0.02,-0.01,1.00,0.10,0.00,-0.01,0.00,-0.01,0.00,0.41,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.25,0.00,-0.01,-0.01,0.16,0.00,
Coffee,0.05,0.07,0.17,0.10,1.00,0.03,0.13,-0.03,-0.08,0.10,0.14,0.04,0.07,0.00,0.08,0.17,0.18,0.14,-0.06,0.12,0.10,0.07,0.20,0.05,-0.04,-0.07,0.10,0.01,0.19,0.11,-0.05,
Coke,-0.01,0.05,-0.01,0.00,0.03,1.00,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.16,-0.01,-0.01,-0.01,-0.01,0.40,-0.01,-0.02,0.00,-0.02,-0.02,-0.01,-0.01,-0.02,0.00,0.18,-0.01,-0.03,-0.01,
Cookies,-0.01,0.02,0.20,-0.01,0.13,-0.01,1.00,-0.01,-0.03,-0.01,-0.02,-0.02,-0.03,0.25,0.07,0.17,-0.03,-0.01,-0.02,0.01,0.28,-0.04,0.02,0.20,-0.01,-0.03,-0.01,-0.02,-0.02,0.10,-0.02,
Ella's Kitchen Pouches,0.00,0.07,-0.01,0.00,-0.03,-0.01,-0.01,1.00,-0.01,0.00,-0.01,-0.01,-0.01,-0.01,0.22,0.23,-0.01,0.00,-0.01,0.12,0.00,-0.01,0.14,0.00,-0.01,-0.01,0.00,-0.01,-0.01,-0.02,-0.01,
Farm House,-0.01,-0.03,-0.02,-0.01,-0.08,-0.01,-0.03,-0.01,1.00,-0.01,-0.02,-0.02,0.06,-0.02,-0.03,-0.02,-0.03,-0.01,-0.02,0.01,-0.01,0.04,0.02,-0.01,-0.01,-0.03,-0.01,-0.02,-0.02,0.10,-0.02,
Focaccia,0.00,-0.02,-0.01,0.00,0.10,0.00,-0.01,0.00,-0.01,1.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.00,0.00,-0.01,0.00,-0.01,-0.01,0.16,0.00,
Frittata,-0.01,0.01,-0.02,0.41,0.14,-0.01,-0.02,-0.01,-0.02,-0.01,1.00,-0.01,0.23,-0.01,0.11,-0.02,-0.02,-0.01,0.15,-0.03,-0.01,0.07,-0.03,-0.01,-0.01,0.08,-0.01,-0.02,-0.01,0.10,-0.01,
Fudge,-0.01,-0.05,-0.02,-0.01,0.04,-0.01,-0.02,-0.01,-0.02,-0.01,-0.01,1.00,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,0.05,-0.01,-0.02,-0.03,-0.01,-0.01,0.08,-0.01,-0.02,-0.01,0.03,-0.01,
Hearty & Seasonal,-0.01,0.02,-0.02,-0.01,0.07,0.16,-0.03,-0.01,0.06,-0.01,0.23,-0.02,1.00,-0.02,-0.03,-0.02,-0.03,0.21,0.36,0.07,-0.01,0.04,-0.04,0.21,0.16,-0.03,0.30,0.29,-0.02,0.05,-0.02,
Hot chocolate,-0.01,0.02,-0.01,-0.01,0.00,-0.01,0.25,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,1.00,0.13,-0.02,0.11,-0.01,-0.01,-0.03,-0.01,-0.02,-0.03,-0.01,-0.01,-0.02,-0.01,0.14,-0.01,0.04,0.22,
Jam,-0.01,0.03,-0.02,-0.01,0.08,-0.01,0.07,0.22,-0.03,-0.01,0.11,-0.02,-0.03,0.13,1.00,0.19,-0.03,-0.01,-0.02,0.02,-0.01,0.20,0.03,-0.01,-0.01,-0.03,-0.01,-0.02,0.11,0.06,-0.01,
